Month,Passengers,trend,detrend,avg_seasonality,random_noise,recontructed
1949-01-01,112,,,,,
1949-02-01,118,,,,,
1949-03-01,132,,,,,
1949-04-01,129,,,,,
1949-05-01,121,,,,,
1949-06-01,135,,,,,
1949-07-01,148,126.666666667,1.168421053,1.230005305,0.949931718,148
1949-08-01,148,126.916666667,1.166119501,1.222716522,0.953712067,148
1949-09-01,136,127.583333333,1.065969954,1.063440298,1.002378748,136
1949-10-01,119,128.333333333,0.927272727,0.92450994,1.00298838,119
1949-11-01,104,128.833333333,0.807244502,0.803798323,1.004287368,104
1949-12-01,118,129.166666667,0.913548387,0.902477105,1.01226766,118
1950-01-01,115,130.333333333,0.882352941,0.914742573,0.964591533,115
1950-02-01,126,132.166666667,0.95334174,0.887863451,1.073748153,126
1950-03-01,141,134,1.052238806,1.010942758,1.040849047,141
1950-04-01,135,135.833333333,0.993865031,0.978780954,1.015411085,135
1950-05-01,125,137,0.912408759,0.983574383,0.927645916,125
1950-06-01,149,137.833333333,1.081015719,1.115711184,0.968902826,149
1950-07-01,170,139.666666667,1.217183771,1.230005305,0.989576033,170
1950-08-01,170,142.166666667,1.195779601,1.222716522,0.977969611,170
1950-09-01,158,144.166666667,1.095953757,1.063440298,1.030573845,158
1950-10-01,133,147.25,0.903225806,0.92450994,0.976977929,133
1950-11-01,114,149.583333333,0.762116992,0.803798323,0.948144541,114
1950-12-01,140,153.5,0.912052117,0.902477105,1.010609701,140
1951-01-01,145,155.916666667,0.929983966,0.914742573,1.016661948,145
1951-02-01,150,158.333333333,0.947368421,0.887863451,1.067020407,150
1951-03-01,178,160.75,1.107309487,1.010942758,1.095323625,178
1951-04-01,163,162.916666667,1.000511509,0.978780954,1.022201653,163
1951-05-01,172,165.333333333,1.040322581,0.983574383,1.057695888,172
1951-06-01,178,168,1.05952381,1.115711184,0.949639857,178
1951-07-01,199,170.166666667,1.169441724,1.230005305,0.950761528,199
1951-08-01,199,172.333333333,1.154738878,1.222716522,0.944404412,199
1951-09-01,184,174.833333333,1.052430887,1.063440298,0.989647363,184
1951-10-01,162,176.083333333,0.92001893,0.92450994,0.995142281,162
1951-11-01,146,177.583333333,0.822149226,0.803798323,1.022830233,146
1951-12-01,166,178.5,0.929971989,0.902477105,1.030466018,166
1952-01-01,171,181.833333333,0.940421632,0.914742573,1.028072443,171
1952-02-01,180,184.416666667,0.97605061,0.887863451,1.099325137,180
1952-03-01,193,188,1.026595745,1.010942758,1.015483554,193
1952-04-01,181,190.083333333,0.952213941,0.978780954,0.97285704,181
1952-05-01,183,192.5,0.950649351,0.983574383,0.966525122,183
1952-06-01,218,194.666666667,1.119863014,1.115711184,1.003721241,218
1952-07-01,230,197,1.16751269,1.230005305,0.949193215,230
1952-08-01,242,199.083333333,1.215571369,1.222716522,0.994156329,242
1952-09-01,209,200.416666667,1.042827443,1.063440298,0.98061682,209
1952-10-01,191,204,0.93627451,0.92450994,1.012725196,191
1952-11-01,172,208.5,0.824940048,0.803798323,1.026302276,172
1952-12-01,194,212.333333333,0.913657771,0.902477105,1.012388864,194
1953-01-01,196,214.416666667,0.914108045,0.914742573,0.999306332,196
1953-02-01,196,217.25,0.902186421,0.887863451,1.016131952,196
1953-03-01,236,219.75,1.073947668,1.010942758,1.062322925,236
1953-04-01,235,222.083333333,1.058161351,0.978780954,1.081101289,235
1953-05-01,229,223.75,1.023463687,0.983574383,1.040555452,229
1953-06-01,243,224.416666667,1.082807278,1.115711184,0.970508581,243
1953-07-01,264,225,1.173333333,1.230005305,0.953925425,264
1953-08-01,272,225.666666667,1.205317578,1.222716522,0.985770255,272
1953-09-01,237,225,1.053333333,1.063440298,0.990495974,237
1953-10-01,211,224.916666667,0.938125232,0.92450994,1.014727036,211
1953-11-01,180,224.25,0.802675585,0.803798323,0.99860321,180
1953-12-01,201,224.666666667,0.894658754,0.902477105,0.991336787,201
1954-01-01,204,226.416666667,0.900993743,0.914742573,0.984969728,204
1954-02-01,188,229.583333333,0.818874773,0.887863451,0.922298099,188
1954-03-01,235,231.333333333,1.015850144,1.010942758,1.004854267,235
1954-04-01,227,233.166666667,0.973552538,0.978780954,0.994658236,227
1954-05-01,234,234.666666667,0.997159091,0.983574383,1.013811571,234
1954-06-01,264,236.583333333,1.115885875,1.115711184,1.000156574,264
1954-07-01,302,238.916666667,1.264039065,1.230005305,1.027669604,302
